2010,Earth and Planetary Science Letters,Chemical,helium-3,helium-4,CFC,carbon-14,,,,,,
2010,Proceedings of the National Academy of Sciences,Chemical,carbon dioxide,vegetation,,,,,,,,
2010,Biogeosciences,Chemical,nutrients,carbon dioxide,,,,,,,,
2010,Biogeosciences,Chemical,carbon dioxide,iron,oxygen,chlorophyll,nitrogen,,,,,
2010,Progress in Oceanography,Biological,fish,invertebrates,,,,,,,,
2011,ICES Journal of Marine Science,Biological,fish,invertebrates,phytoplankton,oxygen,,,,,,
2011,Geophysical Research Letters,Physical,,,,,,,,,,
2011,Journal of Climate,Physical,carbon-14,,,,,,,,,
2011,Global Biogeochemical Cycles,Chemical,carbon dioxide,calcium carbonate,,,,,,,,
2011,Global Biogeochemical Cycles,Biological,phosphate,nitrogen,,,,,,,,
2011,Climate of the Past,Physical,carbon-14,vegetation,,,,,,,,
2011,Journal of Physical Oceanography,Physical,,,,,,,,,,
2012,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2012,Philosophical Transactions of the Royal Society A,Statistics,,,,,,,,,,
2012,Global Biogeochemical Cycles,Chemical,nitrogen,oxygen,nitrous oxide,,,,,,,
2012,Ecological Modelling,Biological,fish,phytoplankton,zooplankton,,,,,,,
2012,Paleoceanography,Physical,carbon dioxide,carbon-12,carbon-13,carbon-14,,,,,,
2012,Biogeosciences,Chemical,phosphate,,,,,,,,,
2012,Nature Climate Change,Biological,fish,oxygen,,,,,,,,
2013,Biogeosciences,Biological,chlorophyll,,,,,,,,,
2013,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2013,Remote Sensing of Environment ,Biological,phytoplankton,chlorophyll,,,,,,,,
2013,Journal of Climate,Physical,carbon dioxide,,,,,,,,,
2013,Journal of Physical Oceanography,Physical,,,,,,,,,,
2013,Biogeosciences,Chemical,carbon dioxide,,,,,,,,,
2013,Global Biogeochemical Cycles,Chemical,zooplankton,fish,oxygen,carbon,,,,,,
2013,BioScience,Policy,,,,,,,,,,
2013,Book,Chemical,,,,,,,,,,
2013,Science,Biological,fish,invertebrates,,,,,,,,
2013,ICES Journal of Marine Science,Biological,fish,,,,,,,,,
2013,Marine Ecology Progress Series,Biological,phytoplankton,zooplankton,,,,,,,,
2013,Nature Climate Change,Physical,carbon dioxide,,,,,,,,,
2014,Journal of Climate,Chemical,carbon dioxide,,,,,,,,,
2014,Ecological Applications,Biological,vegetation,,,,,,,,,
2014,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
2014,Biogeosciences,Chemical,carbon dioxide,,,,,,,,,
2014,Philosophical Transactions of the Royal Society A,Chemical,carbon dioxide,,,,,,,,,
2014,Earth and Planetary Science Letters,Chemical,silicon,silicon-30,,,,,,,,
2014,Biogeosciences,Chemical,calcium carbonate,calcite,,,,,,,,
2014,Geophysical Research Letters,Chemical,radium-228,carbon,,,,,,,,
2014,Geophysical Research Letters,Chemical,carbon dioxide,,,,,,,,,
2014,Journal of Marine Research,Chemical,bacteria,carbon,carbon dioxide,,,,,,,
2015,Journal of Climate,Chemical,carbon dioxide,,,,,,,,,
2015,Physics Today,Physical,carbon dioxide,,,,,,,,,
2015,Global Biogeochemical Cycles,Chemical,carbon-12,carbon-13,carbon-14,oxygen,carbon dioxide,,,,,
2015,Earth and Planetary Science Letters,Chemical,silicon,silicon-30,,,,,,,,
2015,Journal of Physical Oceanography,Physical,,,,,,,,,,
2015,Progress in Oceanography,Biological,phytoplankton,fish,,,,,,,,
2015,Oikos,Biological,zooplankton,fish,,,,,,,,
2015,Journal of Physical Oceanography,Physical,carbon,oxygen,phosphate,,,,,,,
2015,Proceedings of the National Academy of Sciences,Chemical,carbon dioxide,vegetation,,,,,,,,
